dataset,activation,hidden_layers,units_per_layer,epochs_run,final_train_loss,best_val_loss,final_test_loss,test_accuracy,run
Iris,sigmoid,15,32,73,1.097309839180311,1.1152957025719406,1.0957691475484561,0.36666666666666664,5
Iris,sigmoid,15,32,50,1.0973130843538546,1.1141011685425313,1.096158049657415,0.36666666666666664,6
Iris,sigmoid,15,32,59,1.097310108326337,1.1152227893900866,1.0957881604341257,0.36666666666666664,7
Iris,sigmoid,15,32,31,1.0974667955040165,1.0878476371709855,1.1228193548343148,0.3333333333333333,8
Iris,sigmoid,15,32,31,1.0973419916314207,1.1104625723716028,1.1029065262113715,0.3333333333333333,9
Iris,sigmoid,15,32,21,1.0977123996696359,1.0598543839279808,1.1304404159277803,0.3,10
Iris,sigmoid,15,32,120,1.0973093873047655,1.1153758166154628,1.0957614143820464,0.36666666666666664,11
Iris,sigmoid,15,32,28,1.0985624947581303,1.0628793830503445,1.1618464601167864,0.3333333333333333,12
Iris,sigmoid,15,32,63,1.0973113126614191,1.1151181783298287,1.0958573451105764,0.36666666666666664,13
Iris,sigmoid,15,32,21,1.097419269682775,1.0851653300579953,1.1080180685511836,0.3,14
Iris,sigmoid,15,32,109,1.097309367167354,1.1150938723133974,1.0957859270789427,0.36666666666666664,15
Iris,sigmoid,15,32,21,1.0974652011884825,1.0828802083100468,1.1266309499931555,0.3,16
Iris,sigmoid,15,32,21,1.097315004325533,1.1121547881106417,1.0964782384970164,0.3333333333333333,17
Iris,sigmoid,15,32,34,1.0973682406098355,1.1124654086995311,1.1004666957895932,0.3333333333333333,18
Iris,sigmoid,15,32,102,1.0973098860814074,1.1153153229715305,1.0957664583735487,0.36666666666666664,19
Iris,sigmoid,15,32,68,1.0973101118264037,1.1151985048951354,1.0957784148622083,0.36666666666666664,20
Iris,sigmoid,15,32,32,1.0973396407182923,1.109875684550756,1.1024290288462133,0.3333333333333333,21
Iris,sigmoid,15,32,26,1.0978319152246574,1.0555039718720758,1.1658054367958037,0.3,22
Iris,sigmoid,15,32,131,1.0973094348987473,1.114981382954566,1.095796310895591,0.36666666666666664,23
Iris,sigmoid,15,32,21,1.0976243078842502,1.0564717753898358,1.1455458794040358,0.3,24
Iris,sigmoid,15,32,104,1.0973095089807046,1.114703215436387,1.0958222272928106,0.36666666666666664,25
Iris,sigmoid,15,32,91,1.0973103326471993,1.1150340740100562,1.095792049107269,0.36666666666666664,26
Iris,sigmoid,15,32,98,1.097310308471987,1.115071144571412,1.0957887997755742,0.36666666666666664,27
Iris,sigmoid,15,32,37,1.0974776795614307,1.108172574198005,1.1060470415266646,0.36666666666666664,28
Iris,sigmoid,15,32,28,1.0985060657419956,1.0521115110518882,1.1844208220092498,0.3,29
Iris,relu,1,32,300,0.20323721614682533,0.3311540626606348,0.16669148100656095,1.0,0
Iris,relu,1,32,300,0.17525704712172518,0.34240844317779,0.16653146641117514,0.9666666666666667,1
Iris,relu,1,32,300,0.18335149047537938,0.27375414431601824,0.19217943741670412,0.9,2
Iris,relu,1,32,300,0.19261601700990272,0.2539407593416223,0.17011129262768118,0.9666666666666667,3
Iris,relu,1,32,300,0.19278316640596826,0.31924559054017937,0.17538569877537522,0.9666666666666667,4
Iris,relu,1,32,300,0.19843201232151284,0.3359807870972442,0.20022708220154256,0.9333333333333333,5
Iris,relu,1,32,300,0.16962566499255738,0.35526158177669415,0.15528737354162664,0.9666666666666667,6
Iris,relu,1,32,300,0.1815540476191566,0.2979500740048055,0.17839373230623753,0.9,7
Iris,relu,1,32,300,0.1882829236661732,0.29235033766950513,0.1701259274300129,0.9666666666666667,8
Iris,relu,1,32,300,0.18280246344396364,0.3694894019926413,0.17639538211293587,0.9333333333333333,9
Iris,relu,1,32,300,0.17311224081113905,0.2819507657512056,0.1646717270849251,0.9333333333333333,10
Iris,relu,1,32,300,0.17239290015118902,0.2563289837667586,0.1523505684587276,0.9666666666666667,11
Iris,relu,1,32,300,0.15513404018697627,0.306323180037748,0.14212863816464358,0.9666666666666667,12
Iris,relu,1,32,300,0.16920879972661998,0.265963109612478,0.15153108567820708,0.9666666666666667,13
Iris,relu,1,32,300,0.1827787346663746,0.3221260309965613,0.16928917709182797,0.9333333333333333,14
Iris,relu,1,32,300,0.21596083899840526,0.39614304075578,0.18246824220285288,0.9333333333333333,15
Iris,relu,1,32,300,0.14654525973247332,0.26756394341208367,0.13304213301738826,1.0,16
Iris,relu,1,32,300,0.17300904655047333,0.25556979649905504,0.1672331771376814,0.9666666666666667,17
Iris,relu,1,32,300,0.17303674185606735,0.30903181409414926,0.15451194426951187,0.9333333333333333,18
Iris,relu,1,32,300,0.15672500030890424,0.23666382218322204,0.13782063315853518,1.0,19
Iris,relu,1,32,300,0.17496771999452146,0.2953645351106006,0.16512715963006902,0.9666666666666667,20
Iris,relu,1,32,300,0.19245111525009187,0.40706888372689315,0.15669299794789565,0.9666666666666667,21
